customer_id,signup_date,total_orders,total_spend,last_order_date,avg_order_value,return_rate,support_tickets,app_sessions_30d,churned,days_since_last_order,orders_last_30d,cart_abandonment_rate,wishlist_additions,avg_review_rating,email_open_rate,gender,age,city,acquisition_channel
C000021,2024-03-03,26,22606.08,2024-03-25,869.46,0.12,8,26,0,706,1,0.142,5,4.5,0.56,female,58,mumbai,paid_ad
C000022,2024-07-18,16,28061.2,2025-02-25,1753.83,0.233,6,26,0,369,0,0.629,16,1.5,0.503,female,48,Gurgaon,paid_ad
C000023,2024-11-25,12,3408.85,2025-01-08,284.07,0.004,0,59,0,417,5,0.07,9,3.6,0.149,M,30,mumbai,referral
C000024,2024-04-28,43,88917.68,2024-08-28,2067.85,0.417,5,1,0,550,5,0.549,7,4.3,0.191,female,19,Gurgaon,social
C000025,2024-10-05,4,1888.72,2024-12-19,472.18,0.02,5,9,0,437,1,0.715,17,4.6,0.041,Female,66,Pune,paid_ad
C000026,2024-06-12,8,5731.28,2024-12-21,716.41,0.293,5,56,0,435,1,0.508,20,4.3,0.366,Male,55,bangalore,paid_ad
C000027,2024-08-06,12,2481.54,2025-04-02,206.79,0.188,8,57,0,333,3,0.731,17,1.6,0.486,,69,Chandigarh,
C000028,2024-07-07,48,143461.38,2024-11-07,2988.78,0.1,1,61,0,479,5,0.216,1,3.7,0.568,female,59,Jaipur,
C000029,2024-01-23,23,51983.96,2024-08-14,2260.17,0.181,5,24,0,564,3,0.401,14,3.1,0.271,Female,41,Noida,organic
C000030,2024-08-05,37,12363.19,2024-12-08,334.14,0.43,7,,0,448,3,0.545,15,4.7,0.063,,64,Mumbai,
C000031,2024-04-16,2,5919.7,2024-08-26,2959.85,,6,14,0,552,5,0.495,15,,0.464,M,53,Lucknow,referral
C000032,2024-11-27,1,575.6,2025-02-19,575.6,,0,24,0,375,4,0.113,6,,0.187,Male,47,Gurgaon,paid_ad
C000033,2024-10-04,8,20246.27,2025-04-17,2530.78,0.125,5,50,0,318,3,0.133,2,2.2,0.446,female,40,Kochi,social
C000034,2024-03-27,26,58214.39,2024-08-07,2239.01,0.021,1,32,0,571,4,0.088,6,1.7,,Female,24,mumbai,
C000035,2024-08-26,43,65688.14,2024-11-03,1527.63,0.264,6,74,0,483,2,0.517,2,3.1,0.2,Female,43,bangalore,paid_ad
C000036,2024-07-08,0,0.0,,,,1,83,0,,1,0.14,9,,0.412,M,21,Bangalore,referral
C000037,2024-02-21,21,13056.17,2024-08-11,621.72,0.042,9,36,0,567,1,0.586,0,4.5,0.294,Female,67,Mumbai,referral
C000038,2024-12-28,24,29729.5,2025-03-30,1238.73,0.374,10,8,0,336,0,0.566,17,3.0,0.558,male,43,Mumbai,
C000039,2024-01-09,27,12524.62,2024-02-29,463.87,0.166,3,44,0,731,4,0.312,9,4.9,0.45,,61,DELHI,organic
C000040,2024-09-05,38,71385.93,2024-11-17,1878.58,0.274,3,60,0,469,0,0.332,1,4.8,0.45,M,20,Gurgaon,referral
C000041,2024-12-08,42,27494.63,2025-03-30,654.63,0.098,4,50,0,336,4,0.116,15,3.3,0.1,male,20,Bangalore,referral
C000042,2024-10-24,16,15949.95,2025-02-20,996.87,0.248,7,60,0,374,1,0.496,14,3.6,0.429,male,58,Noida,organic
C000043,2024-03-02,23,32565.08,2024-07-08,1415.87,0.085,0,75,0,601,3,0.8,10,4.9,0.18,male,60,Hyderabad,
C000044,2024-04-13,19,39905.4,2025-03-27,2100.28,0.243,1,64,0,339,0,0.397,18,2.7,0.128,Male,49,Lucknow,organic
C000045,2024-05-12,40,27293.02,2024-09-19,682.33,0.196,0,85,0,528,1,0.008,19,3.4,0.542,female,44,Ahmedabad,organic
C000046,2024-10-16,42,78990.94,2025-04-28,1880.74,0.314,5,37,0,307,4,0.245,1,1.2,0.261,male,20,Gurgaon,referral
C000047,2024-01-08,16,74092.47,2024-03-25,1543.59,0.364,10,2,1,706,0,0.578,1,4.9,0.533,M,67,Noida,paid_ad
C000048,2024-12-14,20,7545.13,2025-02-07,377.26,0.347,9,31,0,387,4,0.615,20,2.1,,F,34,Jaipur,paid_ad
C000049,2024-02-10,36,101162.09,2024-04-12,2810.06,0.285,8,23,0,688,0,0.467,14,1.8,0.092,,35,Chandigarh,social
C000050,2024-04-29,40,83801.43,2025-03-05,2095.04,0.48,6,96,0,361,2,0.15,19,3.1,0.152,female,58,Chennai,social
C000051,2024-01-31,48,117481.2,2024-04-08,2447.53,0.179,6,25,0,692,4,0.433,11,3.1,0.148,M,25,Noida,organic
C000052,2024-01-19,10,6204.93,2024-09-01,620.49,0.19,5,16,0,546,3,0.055,18,3.5,0.107,female,47,DELHI,referral
C000053,2024-09-07,31,63383.59,2025-06-27,2044.63,0.278,1,81,0,247,1,0.358,10,4.7,0.106,male,39,Noida,organic
C000054,2024-02-11,30,55135.14,2025-01-02,1837.84,0.443,2,21,0,423,0,0.182,7,4.2,0.264,,70,Chennai,paid_ad
C000055,2024-04-14,43,84084.85,2024-07-07,1955.46,0.252,2,4,0,602,0,0.149,4,3.6,0.4,male,41,Kolkata,paid_ad
C000056,2024-05-12,35,92931.68,2024-07-09,2655.19,0.082,5,,0,600,3,0.543,19,1.9,,Male,64,Hyderabad,paid_ad
C000057,2024-02-23,14,15744.49,2025-03-10,1124.61,0.262,4,,0,356,3,0.476,17,2.5,,female,66,Chandigarh,social
C000058,2024-01-04,34,61020.39,2024-07-18,1794.72,0.052,4,17,0,591,2,0.371,1,2.9,0.353,F,46,Kochi,
C000059,2024-10-31,21,37750.46,2025-03-05,1797.64,0.01,6,69,0,361,2,0.146,7,4.1,0.097,female,56,Chennai,social
C000060,2024-11-11,0,0.0,,,,9,56,0,,5,0.551,2,,0.297,F,37,Chandigarh,organic
C000061,2024-06-16,30,59365.29,2025-04-16,1978.84,0.265,4,4,0,319,5,0.676,14,3.4,0.065,,33,mumbai,referral
C000062,2024-02-15,47,54452.91,2024-08-28,1158.57,0.056,0,86,0,550,1,0.343,10,2.5,0.211,female,31,Noida,organic
C000063,2024-01-26,5,13840.63,2024-09-07,2768.13,0.078,10,40,0,540,5,0.328,8,3.4,0.23,Male,31,chennai,paid_ad
C000064,2024-03-31,19,56888.54,2025-03-05,2994.13,0.341,10,,0,361,0,0.707,6,4.5,,Female,34,Bangalore,paid_ad
C000065,2024-02-24,1,1179.47,2024-09-05,1179.47,,10,59,0,542,0,0.064,20,,0.292,M,37,bangalore,paid_ad
C000066,2024-09-19,18,14161.91,2025-10-04,786.77,0.246,2,39,0,148,3,0.431,17,2.9,,male,49,Pune,paid_ad
C000067,2024-04-20,40,104039.01,2024-10-13,2600.98,0.366,3,61,0,504,2,0.677,18,2.9,0.594,F,35,Mumbai,
C000068,2024-04-20,15,23165.73,2024-08-06,1544.38,0.369,4,21,0,572,0,0.422,7,2.0,0.585,Male,47,Lucknow,referral
C000069,2024-06-02,6,13800.45,2024-10-30,2300.08,0.387,3,,0,487,0,0.388,18,3.7,0.544,male,63,BANGALORE,
C000070,2024-10-14,41,85657.18,2025-08-25,2089.2,0.037,1,11,0,188,4,0.075,1,3.5,0.162,female,67,Chennai,organic
C000071,2024-12-03,11,18709.78,2025-11-19,1700.89,0.134,10,68,0,102,3,0.465,13,1.3,0.369,female,48,Kolkata,paid_ad
C000072,2024-06-14,26,49247.76,2025-01-01,1894.14,0.166,3,45,0,424,4,0.217,3,2.3,,Male,66,Noida,referral
C000073,2024-06-16,4,8535.85,2025-03-21,2133.96,0.438,9,64,0,345,3,0.121,0,2.2,0.008,Female,29,Bangalore,paid_ad
C000074,2024-03-14,18,21417.76,2024-05-25,1189.88,0.221,8,37,0,645,2,0.515,18,1.6,0.015,F,18,Bangalore,paid_ad
C000075,2024-11-23,15,13738.19,2025-08-17,915.88,0.486,4,24,0,196,3,0.223,18,3.5,0.243,male,70,Chandigarh,referral
C000076,2024-01-06,38,69322.95,2024-08-14,1824.29,0.109,5,61,0,564,5,0.591,15,4.6,0.527,Male,31,BANGALORE,
C000077,2024-02-06,32,18082.21,2024-07-28,565.07,0.378,7,39,0,581,3,0.41,15,1.4,0.355,male,45,Jaipur,social
C000078,2024-06-16,43,19026.28,2025-01-02,442.47,0.095,8,28,0,423,4,0.621,10,3.2,,M,23,chennai,paid_ad
C000079,2024-03-01,12,30930.44,2025-01-09,2577.54,0.08,1,7,0,416,4,0.094,14,1.6,0.071,M,61,Pune,paid_ad
C000080,2024-05-09,27,65063.66,2025-03-05,2409.77,0.161,10,,0,361,5,0.77,6,2.1,0.265,female,37,DELHI,paid_ad
C000081,2024-03-04,48,122824.43,2024-08-01,2558.84,0.353,8,69,0,577,4,0.285,17,2.3,,M,28,Pune,social
C000082,2024-05-29,13,24453.62,2024-08-04,611.34,0.293,3,14,1,574,0,0.642,19,1.4,0.455,,25,Chandigarh,social
C000083,2024-02-06,4,9475.49,2024-10-29,2368.87,0.426,6,93,0,488,4,0.757,0,2.4,0.158,M,55,Indore,social
C000084,2024-04-01,21,12483.18,2024-05-01,594.44,0.367,0,77,0,669,4,0.656,7,2.2,0.274,Male,42,Lucknow,
C000085,2024-03-27,1,1764.5,2025-01-21,1764.5,,6,16,0,404,2,0.2,18,,0.272,Female,48,mumbai,
C000086,2024-07-17,25,31174.46,2024-09-17,1246.98,0.217,7,30,0,530,0,0.255,3,4.4,0.177,,59,Bnglr,paid_ad
C000087,2024-03-01,39,61004.52,2024-11-07,1564.22,0.061,10,91,0,479,3,0.767,17,4.6,0.3,Male,44,Gurgaon,
C000088,2024-04-01,45,123036.23,2024-09-20,2734.14,0.243,7,6,0,527,3,0.091,7,2.1,0.494,M,51,BANGALORE,referral
C000089,2024-04-30,23,6397.14,2024-05-30,278.14,0.17,8,100,0,640,4,0.506,4,4.1,0.056,Female,47,bangalore,
C000090,2024-06-08,3,3547.27,2024-09-06,1182.42,,1,43,0,541,0,0.033,9,2.6,0.071,male,36,DELHI,
C000091,2024-06-05,17,4641.67,2025-01-17,273.04,0.057,0,50,0,408,1,0.571,19,1.8,0.31,female,67,DELHI,referral
C000092,2024-09-15,26,49406.44,2025-01-08,1900.25,0.372,4,79,0,417,5,0.505,9,1.9,0.247,F,32,Kolkata,paid_ad
C000093,2024-07-03,4,8180.47,2024-07-09,2045.12,0.007,6,73,0,600,2,0.686,17,4.3,0.167,F,23,Bnglr,referral
C000094,2024-06-25,22,29668.8,2025-05-21,1348.58,0.49,2,6,0,284,3,0.153,9,2.5,,,64,Kolkata,
C000095,2024-06-01,2,4876.13,2025-04-14,2438.07,,9,36,0,321,2,0.598,19,,,M,19,Indore,organic
C000096,2024-04-06,31,83913.61,2024-04-18,2706.89,0.383,10,11,0,682,4,0.781,11,3.0,0.578,female,59,Kolkata,
C000097,2024-02-13,0,0.0,,,,5,31,0,,1,0.166,15,,0.106,Female,52,Ahmedabad,organic
C000098,2024-08-01,10,21028.6,2025-06-08,2102.86,0.418,8,11,0,266,1,0.794,5,1.8,0.368,Male,32,Delhi,social
C000099,2024-05-15,3,20129.88,2025-04-22,1829.99,0.211,8,18,1,313,0,0.402,3,3.2,0.221,Male,51,Kolkata,referral
C000100,2024-08-31,39,71985.36,2025-05-17,1845.78,0.439,3,78,0,288,3,0.67,17,4.7,0.565,F,45,Gurgaon,paid_ad
C000101,2024-09-19,20,30267.24,2025-02-22,1513.36,0.123,4,11,0,372,5,0.632,18,3.1,0.401,M,21,Kochi,
C000102,2024-03-27,17,41256.02,2024-09-20,2426.82,0.015,4,56,0,527,0,0.381,0,4.8,0.114,,69,Kolkata,referral
C000103,2024-06-15,17,16225.83,2025-01-26,954.46,0.391,6,,0,399,0,0.74,19,4.5,,Male,44,Kochi,paid_ad
C000104,2024-08-18,8,55509.71,2025-01-10,2312.9,0.131,9,21,1,415,0,0.69,20,2.4,0.193,Female,41,Mumbai,social
C000105,2024-04-23,37,78178.76,2024-11-08,2112.94,0.058,10,84,0,478,5,0.748,18,3.0,0.579,female,38,Chandigarh,social
C000106,2024-10-17,37,44770.69,2025-06-07,1210.02,0.144,2,20,0,267,3,0.753,15,2.9,,,61,Mumbai,referral
C000107,2024-02-23,20,50607.9,2024-09-13,2530.39,0.369,5,0,0,534,0,0.266,16,1.7,0.386,Female,25,Kolkata,paid_ad
C000108,2024-08-10,34,23027.29,2025-02-04,677.27,0.094,6,42,0,390,2,0.045,11,4.3,0.293,,44,Kochi,organic
C000109,2024-01-29,41,79120.47,2024-11-09,1929.77,0.188,7,99,0,477,1,0.606,7,2.7,0.167,female,69,bangalore,social
C000110,2024-12-01,37,90081.03,2025-08-01,2434.62,0.411,8,74,0,212,5,0.768,1,2.2,0.108,female,26,Indore,paid_ad
C000111,2024-04-19,35,68403.36,2024-10-14,1954.38,0.142,2,47,0,503,1,0.657,19,3.8,0.464,male,21,Indore,social
C000112,2024-10-16,15,15786.96,2025-07-08,1052.46,0.016,7,17,0,236,1,0.466,18,1.7,0.523,Male,59,Hyderabad,paid_ad
C000113,2024-05-25,19,42698.16,2025-05-06,2247.27,0.135,1,52,0,299,4,0.034,16,3.3,0.478,female,23,BANGALORE,referral
C000114,2024-06-02,50,53185.72,2025-06-17,1063.71,0.097,5,94,0,257,4,0.239,20,3.7,,,28,Bangalore,referral
C000115,2024-03-15,5,11727.22,2024-09-16,689.84,0.294,5,6,1,531,0,0.516,12,3.2,0.593,M,68,Ahmedabad,organic
C000116,2024-08-07,22,16920.72,2025-05-09,769.12,0.143,3,55,0,296,1,0.308,1,4.4,0.051,F,36,Ahmedabad,social
C000117,2024-09-06,35,76775.14,2025-04-15,2193.58,0.224,8,22,0,320,1,0.695,14,1.5,0.358,Male,23,Hyderabad,referral
C000118,2024-04-22,40,86926.93,2024-12-13,2173.17,0.341,7,55,0,443,5,0.382,13,3.3,0.092,F,51,Mumbai,
C000119,2024-06-11,36,40624.67,2024-08-06,1128.46,0.392,7,10,0,572,0,0.268,5,1.8,0.385,female,64,DELHI,referral
C000120,2024-10-25,31,76298.19,2025-02-28,2461.23,0.045,9,10,0,366,2,0.421,5,3.1,0.547,male,34,Noida,social
C000121,2024-09-26,2,17282.75,2025-03-14,2468.96,0.451,8,8,1,352,0,0.285,1,,,Male,42,Ahmedabad,referral
C000122,2024-11-23,39,76975.68,2025-01-14,1973.74,0.252,7,64,0,411,2,0.557,7,3.7,,Female,46,mumbai,
C000123,2024-10-14,17,8748.63,2025-06-27,514.63,0.427,3,46,0,247,0,0.576,19,4.8,0.53,M,58,Pune,paid_ad
C000124,2024-07-07,25,64776.61,2024-12-22,2591.06,0.441,8,80,0,434,1,0.38,20,2.1,0.019,male,20,Kolkata,
C000125,2024-06-29,31,90646.5,2025-04-22,2924.08,0.178,2,59,0,313,0,0.611,11,3.0,,female,40,Lucknow,social
C000126,2024-12-13,7,9865.85,2026-01-17,1409.41,0.457,6,42,0,43,1,0.506,0,3.1,0.477,,54,mumbai,referral
C000127,2024-07-09,31,92332.26,2025-04-17,2978.46,0.042,7,9,0,318,5,0.639,3,4.3,0.581,female,29,Gurgaon,
C000128,2024-05-04,3,8459.54,2025-01-13,2819.85,,1,5,0,412,5,0.717,15,3.0,,male,41,chennai,referral
C000129,2024-08-25,46,116460.15,2024-09-13,2531.74,0.191,5,74,0,534,5,0.546,14,3.9,,female,24,BANGALORE,referral
C000130,2024-04-15,11,10767.84,2025-02-11,978.89,0.034,10,11,0,383,4,0.343,4,2.7,0.256,M,49,mumbai,organic
C000131,2024-11-16,45,56594.52,2025-04-12,1257.66,0.314,3,42,0,323,4,0.158,16,1.1,0.423,female,28,mumbai,referral
C000132,2024-03-21,7,12544.41,2024-11-19,1792.06,0.34,10,66,0,467,0,0.115,19,2.0,0.342,Male,63,Lucknow,social
C000133,2024-07-30,11,11212.19,2025-05-06,1019.29,0.171,8,45,0,299,4,0.295,19,1.6,0.227,male,61,Kochi,paid_ad
C000134,2024-07-12,41,11939.16,2025-04-09,291.2,0.144,9,60,0,326,2,0.332,1,1.4,0.46,Female,56,Chennai,referral
C000135,2024-01-07,46,90588.25,2024-03-09,1969.31,0.13,2,48,0,722,2,0.665,9,3.8,0.08,F,19,Chandigarh,social
C000136,2024-05-19,46,68585.86,2024-11-14,1491.0,0.327,9,0,0,472,1,0.023,15,3.4,0.225,male,22,Pune,social
C000137,2024-01-14,12,29280.15,2024-08-23,2440.01,0.436,7,92,0,555,4,0.303,0,3.5,0.403,F,58,Delhi,referral
C000138,2024-12-05,24,12663.31,2025-01-10,527.64,0.037,5,82,0,415,5,0.45,14,1.8,0.251,,70,Chandigarh,paid_ad
C000139,2024-08-07,34,18330.13,2025-05-25,539.12,0.395,2,43,0,280,1,0.305,5,2.4,0.554,Female,55,Bangalore,
C000140,2024-02-24,10,28617.89,2025-01-18,953.93,0.144,6,9,1,407,0,0.371,15,4.9,0.031,Male,28,Gurgaon,social
C000141,2024-08-09,32,28434.18,2025-04-28,888.57,0.323,5,61,0,307,0,0.582,13,1.7,0.59,F,62,Kochi,social
C000142,2024-04-29,45,89260.02,2024-08-13,1983.56,0.197,3,17,0,565,2,0.46,8,4.2,0.118,,61,Chandigarh,referral
C000143,2024-01-10,39,47293.85,2024-03-05,1212.66,0.461,6,95,0,726,1,0.381,5,2.2,0.579,Male,67,Chandigarh,referral
C000144,2024-08-20,3,8446.65,2024-12-28,2815.55,,1,,0,428,1,0.125,20,3.6,0.454,male,30,Mumbai,
C000145,2024-02-18,20,46069.83,2024-04-25,2303.49,0.248,8,20,0,675,4,0.168,11,1.6,0.117,Male,69,BANGALORE,organic
C000146,2024-10-01,23,59281.57,2025-05-10,2577.46,0.023,9,69,0,295,4,0.139,4,4.8,0.031,Female,46,mumbai,organic
C000147,2024-03-27,37,54811.2,2024-08-04,1481.38,0.134,6,52,0,574,2,0.427,5,3.4,0.314,M,67,Gurgaon,social
C000148,2024-09-01,49,55848.97,2024-09-02,1139.77,0.349,3,25,0,545,1,0.39,10,4.0,0.551,female,20,Jaipur,paid_ad
C000149,2024-06-07,44,84638.77,2024-07-17,1923.61,0.133,9,18,0,592,1,0.161,19,4.0,0.417,,51,Ahmedabad,organic
C000150,2024-03-28,40,20640.52,2024-08-06,516.01,0.068,4,,0,572,1,0.446,10,3.5,0.147,M,18,chennai,organic
C000151,2024-01-02,7,14285.58,2024-07-12,2040.8,0.22,2,82,0,597,3,0.63,8,2.1,0.521,Female,61,Delhi,paid_ad
C000152,2024-12-18,6,11796.32,2025-10-03,1966.05,0.325,7,,0,149,0,0.528,17,2.3,0.498,Male,35,Bnglr,paid_ad
C000153,2024-12-12,2,4728.99,2025-10-30,2364.49,,9,63,0,122,3,0.289,7,,0.44,male,33,Ahmedabad,social
C000154,2024-07-06,21,30943.88,2025-03-07,1473.52,0.022,10,37,0,359,1,0.228,14,1.6,0.433,Female,37,Delhi,organic
C000155,2024-09-25,8,19475.65,2025-08-29,811.49,0.471,5,15,1,184,0,0.471,17,4.9,0.182,F,54,Kolkata,referral
C000156,2024-10-10,45,119567.39,2024-10-30,2657.05,0.317,2,,0,487,5,0.582,14,4.4,0.164,female,19,Mumbai,referral
C000157,2024-05-17,1,1525.36,2025-02-18,1525.36,,3,27,0,376,3,0.686,12,,0.577,,34,Chennai,social
C000158,2024-05-19,8,13910.63,2024-06-20,1738.83,0.444,10,94,0,619,5,0.199,11,2.8,0.327,,47,BANGALORE,
C000159,2024-12-10,24,17054.8,2025-06-17,710.62,0.295,1,42,0,257,0,0.608,2,3.2,,,68,Delhi,
C000160,2024-10-07,31,34231.97,2025-04-12,1104.26,0.106,4,98,0,323,2,0.314,6,2.0,0.382,M,51,Jaipur,referral
C000161,2024-03-07,6,16335.6,2025-01-11,2722.6,0.17,9,96,0,414,1,0.011,8,3.8,0.167,male,50,Indore,paid_ad
C000162,2024-06-17,0,0.0,,,,0,19,0,,2,0.572,19,,,Male,58,Jaipur,
C000163,2024-01-26,38,12816.85,2024-06-20,337.29,0.087,6,25,0,619,4,0.577,18,2.4,0.571,female,23,Bnglr,referral
C000164,2024-06-19,5,5176.43,2024-06-26,1035.29,0.212,0,27,0,613,0,0.279,3,3.3,0.356,,64,Ahmedabad,
C000165,2024-09-15,11,23282.37,2024-09-21,2116.58,0.025,8,42,0,526,2,0.266,16,5.0,0.057,M,29,Hyderabad,organic
C000166,2024-09-03,44,47241.86,2025-10-01,1073.68,0.261,0,32,0,151,2,0.155,15,3.5,,,66,mumbai,referral
C000167,2024-03-11,13,3286.19,2024-07-16,252.78,0.022,1,93,0,593,3,0.529,0,4.1,0.435,M,29,Bangalore,
C000168,2024-06-06,30,80543.08,2024-12-16,2684.77,0.158,8,69,0,440,3,0.309,1,1.5,0.253,female,37,Noida,paid_ad
C000169,2024-11-21,48,36504.94,2025-08-07,760.52,0.017,6,75,0,206,5,0.688,17,2.8,0.496,male,66,Kochi,paid_ad
C000170,2024-01-16,14,40528.32,2025-01-03,2894.88,0.401,5,78,0,422,3,0.675,10,4.3,0.369,male,56,Kochi,
C000171,2024-11-11,27,64199.4,2025-02-15,2377.76,0.141,0,92,0,379,5,0.091,3,3.4,0.194,male,23,Chennai,organic
C000172,2024-07-23,33,27783.0,2024-12-05,841.91,0.099,1,54,0,451,3,0.55,1,3.7,0.375,Female,25,Chennai,referral
C000173,2024-12-11,22,40858.17,2025-07-09,1857.19,0.384,2,66,0,235,4,0.152,11,4.2,0.054,Male,54,chennai,
C000174,2024-02-12,14,36315.63,2024-04-21,2593.97,0.061,6,13,0,679,4,0.098,12,1.0,0.457,M,59,BANGALORE,organic
C000175,2024-12-10,11,30436.62,2025-03-09,2766.97,0.271,10,12,0,357,5,0.386,0,2.3,0.423,female,30,DELHI,referral
C000176,2024-10-27,7,8813.62,2025-07-06,1259.09,0.359,0,19,0,238,3,0.661,18,2.4,0.24,Male,59,bangalore,social
C000177,2024-08-03,1,2130.76,2024-08-24,2130.76,,4,27,0,554,1,0.297,10,,0.103,Male,66,bangalore,paid_ad
C000178,2024-08-23,8,19878.34,2025-03-15,2484.79,0.006,7,29,0,351,0,0.323,19,3.5,0.06,female,42,mumbai,
C000179,2024-06-12,26,17278.46,2025-05-10,664.56,0.353,4,60,0,295,2,0.474,8,1.7,0.223,female,32,Mumbai,organic
C000180,2024-08-26,12,15590.21,2025-09-02,1299.18,0.334,4,50,0,180,2,0.327,3,4.8,0.592,F,44,Chennai,organic
C000181,2024-08-12,48,80191.41,2025-03-30,1670.65,0.247,1,45,0,336,5,0.153,13,1.1,0.185,female,69,Gurgaon,organic
C000182,2024-12-30,37,96687.2,2025-01-17,2613.17,0.135,9,21,0,408,0,0.634,4,1.2,0.599,,55,Ahmedabad,organic
C000183,2024-09-17,25,37846.72,2025-01-13,1513.87,0.204,10,76,0,412,0,0.548,7,3.8,0.403,female,36,Chandigarh,paid_ad
C000184,2024-05-15,2,2758.56,2025-06-01,1379.28,,8,16,0,273,3,0.698,6,,0.324,,20,DELHI,organic
C000185,2024-12-01,26,57142.89,2025-12-15,2197.8,0.481,3,96,0,76,1,0.235,5,2.9,0.363,female,60,chennai,
C000186,2024-11-02,39,75100.08,2025-11-19,1925.64,0.056,3,48,0,102,5,0.239,15,1.9,0.431,female,29,Pune,organic
C000187,2024-11-24,11,5154.42,2025-10-20,468.58,0.179,7,66,0,132,4,0.249,10,4.7,0.524,female,56,Lucknow,
C000188,2024-10-05,22,48802.83,2025-06-25,2218.31,0.364,6,85,0,249,2,0.18,7,4.9,0.171,M,18,mumbai,referral
C000189,2024-12-08,23,50370.22,2025-01-16,2190.01,0.088,6,2,0,409,1,0.338,7,4.1,0.12,Female,53,Gurgaon,paid_ad
C000190,2024-06-12,18,25856.0,2025-03-22,1436.44,0.48,7,,0,344,0,0.148,9,1.8,,M,18,Gurgaon,social
C000191,2024-09-22,1,2919.08,2024-10-14,2919.08,,3,78,0,503,0,0.453,17,,0.566,female,50,Pune,
C000192,2024-04-08,36,97686.5,2025-05-12,2713.51,0.009,8,2,0,293,3,0.079,3,4.9,0.372,F,70,Kochi,referral
C000193,2024-12-15,3,3538.04,2025-08-29,1179.35,,3,23,0,184,5,0.562,2,1.9,0.09,Female,34,Hyderabad,organic
C000194,2024-01-30,0,0.0,,,,7,50,0,,0,0.232,11,,,M,62,Mumbai,
C000195,2024-05-08,47,79285.04,2024-12-14,1686.92,0.463,3,94,0,442,2,0.437,8,4.0,0.466,Male,48,Ahmedabad,organic
C000196,2024-04-26,8,9012.25,2025-04-24,1126.53,0.386,9,3,0,311,0,0.604,9,1.4,0.333,Male,70,BANGALORE,
C000197,2024-10-23,14,31467.6,2025-02-28,2247.69,0.319,3,23,0,366,2,0.498,17,2.9,0.434,F,24,Chennai,referral
C000198,2024-10-18,36,96296.22,2025-11-03,2674.89,0.443,7,26,0,118,3,0.674,14,1.1,0.163,Female,66,Chandigarh,
